Designator,Mid X,Mid Y,Layer,Rotation
C1,92.0750,-55.3110,Top,-90
C2,96.5200,-55.5600,Top,-90
C3,106.2380,-55.8800,Top,180
C4,100.6450,-49.1490,Top,0
C5,100.6450,-44.5770,Top,0
C6,101.2800,-63.5000,Top,180
C7,83.3000,-46.0000,Top,180
C8,87.0000,-52.4500,Top,-90
C9,133.8128,-25.4630,Top,180
D3,80.6450,-58.2930,Top,-90
D4,74.1270,-29.0882,Top,90
D5,81.2800,-28.8200,Top,90
D6,85.9790,-24.2085,Top,-90
D7,90.4240,-24.2085,Top,-90
D8,144.1930,-62.3165,Top,90
D9,139.1130,-62.3165,Top,90
F2,73.3275,-38.1000,Top,0
FB1,81.6125,-38.1000,Top,0
R1,96.8775,-59.6900,Top,0
R2,96.7975,-63.5000,Top,180
R3,106.3225,-63.5000,Top,180
R4,106.3225,-59.6900,Top,180
R5,101.3225,-59.6900,Top,0
R6,87.0000,-57.9125,Top,-90
R7,74.5000,-51.9125,Top,-90
R8,74.5000,-57.9125,Top,-90
R9,145.2830,-31.5015,Top,-90
R10,140.2030,-31.5015,Top,-90
R11,86.9950,-28.9325,Top,90
R12,90.8050,-28.8525,Top,90
R13,144.1930,-55.9915,Top,-90
R14,139.1130,-55.9915,Top,-90
U1,100.9633,-54.8536,Top,-90
U2,80.5250,-52.5000,Top,180
U3,133.8530,-32.4140,Top,0
