Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C5,C9",Capacitor_SMD:C_0805_2012Metric,
1uF,"C3,C4",Capacitor_SMD:C_0805_2012Metric,
10uF,"C6,C7",Capacitor_SMD:C_0805_2012Metric,
4.7uF,C8,Capacitor_SMD:C_0805_2012Metric,
BLM21,FB1,Fuse:Fuse_0805_2012Metric,
4.7k,"R4,R5",Resistor_SMD:R_0805_2012Metric,
SHT45-AD1F-R2,U1,Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,
BME688,U2,Package_LGA:Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,
SCD41-D-R2,U3,Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,
TLV70018,U4,Package_TO_SOT_SMD:SOT-353_SC-70-5,
NCP114,U5,Package_DFN_QFN:OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,
